,doc_id,question,ground_truth,municipality,finetune_answer,base_answer
0,1,What is the maximum building height for accessory buildings?,4.0 m | 1 storey,Burnaby,4.0 m | 1 storey,4.0 m
1,2,What is the minimum lot frontage requirements?,6 metres (19.7 ft.),Niagara Falls,6 metres (19.7 ft.).,6 metres (19.7 ft.).
2,3,Where does a child care facility in the R1 district be located?,on a corner lot,Burnaby,on a corner lot,a corner lot
3,4,"For lots in the R1 district on the Community Heritage Register, what is the minimum lot line setback for street yards?",2.0 m,Burnaby,2.0 m,2.0 m
4,5,What is the minimum rear yard depth where any part of the building is used for residential purposes?,10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1,Niagara Falls,10 metres (33.0 ft.),10 metres
5,6,What is the maximum lot coverage?,70%,Niagara Falls,70%.,70%.
6,7,What is the maximum height of building or structure?,12 metres (40.0 ft.) subject to section 4.7,Niagara Falls,12 metres (40.0 ft.) subject to section 4.7,12 metres (40.0 ft.)
7,8,What is the maximum floor area?,not specified,Niagara Falls,400 square metres,400 square metres
8,9,What is the minimum width and area for outdoor amenity space for each primary dwelling unit?,An outdoor amenity space with a minimum width of 2.0 m and area of 10.0 m2,Burnaby,2.0 m and area of 10.0 m2,2.0 m and area of 10.0 m2
9,10,What is the maximum building height for a sloping roof?,9.0 m (29.5 ft.),Burnaby,9.0 m (29.5 ft.),9.0 m (29.5 ft.)
10,11,What is the minimum width of dwelling units?,5.03 m (16.5 ft.),Burnaby,5.03 m (16.5 ft.).,5.03 m (16.5 ft.).
11,12,What is the maximum floor area ratio?,0.70,Burnaby,0.70,0.70
12,13,What is the minimum front yard depth?,4.57 m (15 ft.),Burnaby,4.57 m (15 ft.),4.57 m (15 ft.)
13,14,What is the minimum lot width?,20.12 m (66 ft.),Burnaby,20.12 m (66 ft.).,20.12 m (66 ft.).
14,15,What is the minimum width of a lot side yard for a corner lot?,3.0 m (9.84 ft.),Burnaby,3.0 m (9.84 ft.).,3.0 m (9.84 ft.).
15,16,What is the minimum depth of a rear yard?,4.57 m (15 ft.),Burnaby,4.57 m (15 ft.),4.57 m (15 ft.)
16,17,What is the minimum width of a building?,30.48 m (100 ft.),Burnaby,30.48 m (100 ft.).,30.48 m (100 ft.).
17,18,What are the requirements for off-street vehicle parking?,Off-street vehicle parking shall be provided and maintained in accordance with Schedule VIII of this Bylaw,Burnaby,shall be provided and maintained in accordance with Schedule VIII of this Bylaw,provided and maintained in accordance with Schedule VIII of this Bylaw
18,19,What is the maximum building height?,37 m (121.39 ft.) nor 10 storeys,Burnaby,37 m (121.39 ft.) nor 10 storeys,37 m (121.39 ft.)
19,20,What is the maximum floor area ratio?,5.00,Burnaby,5.00,5.00
20,21,What is the maximum floor space ratio?,0.70,Vancouver,0.70,0.70
21,22,What is the maximum floor space ratio?,4.00,Vancouver,4.00,4.00
22,23,What is the maximum floor space ratio?,5.50,Vancouver,5.50,5.50
23,24,What is the minimum site area?,460 m2,Vancouver,460 m2,460 m2
24,25,What is the minimum site area for a corner site?,"1,348 m2",Vancouver,"1,348 m2","1,348 m2"
25,26,What is the maximum building height?,11.0 metres,Calgary,11.0 metres measured from grade,11.0 metres
26,27,What is the maximum building height?,12.0 metres,Calgary,12.0 metres,12.0 metres
27,28,What is the maximum building height?,16.0 metres,Calgary,16.0 metres,16.0 metres
28,29,What is the minimum number of motor vehicle parking stalls required?,calculated based on the sum of all units and suites at a rate of 1.0 stalls per unit or suite,Calgary,1.0 stalls per unit or suite,1.0 stalls per unit or suite
29,30,What is the maximum density for parcels in the M-CG District?,111 units per hectare,Calgary,111 units per hectare,111 units per hectare
30,31,What is the minimum lot size in square metres?,447 m2,City of Langley,"557 m2 [5,995.69 ft2],",557
31,32,What is the maximum number of units for a Principal Building?,4; 6 if within 400 m of frequent bus stop,City of Langley,4,4
32,33,What are the requirements for off-street vehicle parking?, in accordance with Section I.E. of this Bylaw,City of Langley,maintained in accordance with Section I.E. of this Bylaw,provided and maintained
33,34,What are the rear and front setbacks for a principal building?,"Front is 7.5m [24.61 ft], Rear is 7.5m [24.61 ft]",City of Langley,"7.5m [24.61 ft],","7.5m [24.61 ft],"
34,35,What is the minimum lot size?,"930 m2 [10,010.76 ft2]",City of Langley,"930 m2 [10,010.76 ft2],",930 m2
35,36,What is the maximum number of units for a Principal Building?,4; 6 if within 400 m of frequent bus stop,City of Langley,4,4
36,37,What are the landscaping requirements for this zone?,Not Applicable,City of Langley,Not Applicable to this Zone,Not Applicable to this Zone
37,38,What is the interior setback for a principal building?,3.0m [9.84 ft],City of Langley,"3.0m [9.84 ft],",3.0m
38,39,Where are the general provisions set out in this Bylaw?,Section I.D.,City of Langley,Section I.D.,Section I.D.
39,40,What is the minimum lot size?,"222 m2 [2,389.66 ft2]",City of Langley,"222 m2 [2,389.66 ft2],",222 m2
